Country,Year,LEB,GDP
Brunei Darussalam,1990,71.656,3520487627.0
Brunei Darussalam,1991,71.871,3701774189.0
Brunei Darussalam,1992,72.081,4183632940.0
Brunei Darussalam,1993,72.312,4105729021.0
Brunei Darussalam,1994,72.553,4087220219.0
Brunei Darussalam,1995,72.816,4734103536.0
Brunei Darussalam,1996,73.1,5115454090.0
Brunei Darussalam,1997,73.364,5197311972.0
Brunei Darussalam,1998,73.619,4051142386.0
Brunei Darussalam,1999,73.863,4600116699.0
Brunei Darussalam,2000,74.08,6001282104.0
Brunei Darussalam,2001,74.276,5601018684.0
Brunei Darussalam,2002,74.426,5843368268.0
Brunei Darussalam,2003,74.561,6557397070.0
Brunei Darussalam,2004,74.65,7872202803.0
Brunei Darussalam,2005,74.731,9531420028.0
Brunei Darussalam,2006,74.783,11470464771.0
Brunei Darussalam,2007,74.818,12247677994.0
Brunei Darussalam,2008,74.84,14393434225.0
Brunei Darussalam,2009,74.846,10732595016.0
Brunei Darussalam,2010,74.849,13707280260.0
Brunei Darussalam,2011,74.858,18525128526.0
Brunei Darussalam,2012,74.827,19048443341.0
Brunei Darussalam,2013,74.799,18094321617.0
Brunei Darussalam,2014,74.779,17097802753.0
Brunei Darussalam,2015,74.75,12930291488.0
Brunei Darussalam,2016,74.733,11400466356.0
Brunei Darussalam,2017,74.722,12128183904.0
Brunei Darussalam,2018,74.712,13566937674.0
Brunei Darussalam,2019,74.748,13469235365.0
Brunei Darussalam,2020,74.795,12005799654.0
Chad,1990,44.686,1738605558.0
Chad,1991,45.941,1877137982.0
Chad,1992,46.102,1881847670.0
Chad,1993,46.318,1463251164.0
Chad,1994,46.449,1179837963.0
Chad,1995,46.711,1445919895.0
Chad,1996,47.013,1607345356.0
Chad,1997,47.217,1544689577.0
Chad,1998,47.224,1744794531.0
Chad,1999,47.372,1534673583.0
Chad,2000,47.443,1388506772.0
Chad,2001,47.85,1710843377.0
Chad,2002,47.946,1997005709.0
Chad,2003,48.206,2742815072.0
Chad,2004,48.232,4422855661.0
Chad,2005,48.312,6649307524.0
Chad,2006,48.286,7428701454.0
Chad,2007,48.751,8650137743.0
Chad,2008,49.024,10393833765.0
Chad,2009,49.196,9290728319.0
Chad,2010,49.584,10668103554.0
Chad,2011,50.009,12172308851.0
Chad,2012,50.54,12367362757.0
Chad,2013,50.781,12953534866.0
Chad,2014,51.202,13940767219.0
Chad,2015,51.589,10950392257.0
Chad,2016,52.083,10097778098.0
Chad,2017,52.308,10000394381.0
Chad,2018,52.825,11239167898.0
Chad,2019,53.259,11314951092.0
Chad,2020,52.777,10715396042.0
China,1990,68.005,394566000000.0
China,1991,68.169,413375000000.0
China,1992,68.734,493137000000.0
China,1993,69.216,619112000000.0
